Date,Open,High,Low,Close,Volume
4/21/2021,3316.00,3362.86,3303.81,3362.02,2211200
4/22/2021,3371.68,3372.87,3301.45,3309.04,2580600
4/23/2021,3319.10,3375.00,3308.50,3340.88,3192800
4/26/2021,3348.00,3428.45,3330.94,3409.00,4880700
4/27/2021,3443.47,3460.00,3398.01,3417.43,3827100
4/28/2021,3434.80,3489.88,3425.00,3458.50,4631900
4/29/2021,3505.10,3514.45,3435.00,3471.31,7682400
4/30/2021,3525.12,3554.00,3462.50,3467.42,7009300
5/3/2021,3484.73,3486.65,3372.70,3386.49,5875500
5/4/2021,3356.19,3367.98,3272.13,3311.87,5439400
5/5/2021,3338.86,3354.70,3264.36,3270.54,3711300
5/6/2021,3270.00,3314.40,3247.20,3306.37,4447700
5/7/2021,3319.09,3330.89,3289.07,3291.61,4710300
5/10/2021,3282.32,3283.00,3190.00,3190.49,5838600
5/11/2021,3136.28,3238.00,3127.37,3223.91,4619800
5/12/2021,3185.00,3207.94,3133.10,3151.94,4936400
5/13/2021,3185.47,3203.84,3133.00,3161.47,3350900
5/14/2021,3185.56,3228.86,3183.00,3222.90,3325000
5/17/2021,3245.93,3292.75,3234.59,3270.39,3723900
5/18/2021,3292.58,3312.00,3230.37,3232.28,2828400
5/19/2021,3195.00,3234.75,3184.00,3231.80,2679700
5/20/2021,3244.40,3259.68,3236.18,3247.68,2633200
5/21/2021,3250.00,3256.69,3197.01,3203.08,4104900
5/24/2021,3215.50,3257.95,3210.50,3244.99,2422800
5/25/2021,3266.67,3279.82,3213.76,3259.05,3261100
5/26/2021,3274.59,3295.73,3258.51,3265.16,2384000
5/27/2021,3256.00,3260.36,3230.04,3230.11,2561200
5/28/2021,3242.00,3247.99,3219.70,3223.07,2329800
6/1/2021,3243.50,3250.98,3209.06,3218.65,2430000
6/2/2021,3223.10,3235.00,3208.00,3233.99,2014500
6/3/2021,3204.23,3214.44,3184.03,3187.01,2398300
6/4/2021,3212.00,3221.00,3198.81,3206.22,2249700
6/7/2021,3197.33,3208.00,3172.20,3198.01,2215800
6/8/2021,3222.61,3279.53,3218.01,3264.11,3416700
6/9/2021,3272.87,3297.58,3270.70,3281.15,2455500
6/10/2021,3282.01,3351.00,3281.15,3349.65,3476500
6/11/2021,3349.65,3366.58,3333.45,3346.83,2817400
6/14/2021,3346.83,3385.00,3335.50,3383.87,2569700
6/15/2021,3384.00,3396.99,3363.11,3383.13,2426200
6/16/2021,3392.00,3426.35,3360.53,3415.25,4202800
6/17/2021,3403.18,3497.20,3401.00,3489.24,5136500
6/18/2021,3479.99,3507.00,3473.71,3486.90,5247700
6/21/2021,3476.42,3482.00,3434.00,3453.96,3277100
6/22/2021,3458.06,3523.78,3456.09,3505.44,3345100
6/23/2021,3505.00,3521.00,3483.20,3503.82,2813300
6/24/2021,3507.64,3524.86,3430.85,3449.08,3832000
6/25/2021,3464.00,3464.82,3394.18,3401.46,3941000
6/28/2021,3416.00,3448.00,3413.51,3443.89,2242800
6/29/2021,3438.82,3456.03,3423.03,3448.14,2098400
6/30/2021,3441.06,3471.60,3435.00,3440.16,2404000
7/1/2021,3434.61,3457.00,3409.42,3432.97,2037100
7/2/2021,3451.64,3511.72,3436.92,3510.98,3169400
7/6/2021,3530.11,3685.48,3529.00,3675.74,6744800
7/7/2021,3717.38,3734.20,3678.91,3696.58,5328100
7/8/2021,3643.56,3759.99,3621.12,3731.41,5180600
7/9/2021,3722.52,3748.00,3693.40,3719.34,3748200
7/12/2021,3744.00,3757.29,3696.79,3718.55,2571600
7/13/2021,3702.10,3773.08,3671.32,3677.36,3845900
7/14/2021,3708.85,3717.66,3660.83,3681.68,3296600
7/15/2021,3694.20,3695.40,3620.92,3631.20,3185300
7/16/2021,3633.31,3646.06,3570.46,3573.63,4043700
7/19/2021,3532.58,3550.21,3499.16,3549.59,3784600
7/20/2021,3567.32,3592.00,3518.00,3573.19,3255700
7/21/2021,3576.38,3586.45,3543.64,3585.20,2319000
7/22/2021,3587.23,3640.02,3582.27,3638.03,3265400
7/23/2021,3640.00,3666.11,3622.04,3656.64,2436300
7/26/2021,3673.17,3712.08,3647.25,3699.82,2900100
7/27/2021,3698.50,3698.50,3586.15,3626.39,4131900
7/28/2021,3633.78,3658.42,3601.00,3630.32,2999400
7/29/2021,3627.75,3637.95,3580.01,3599.92,5520000
7/30/2021,3347.95,3368.14,3306.98,3327.59,9957100
8/2/2021,3353.10,3358.92,3317.00,3331.48,3353900
8/3/2021,3340.72,3391.00,3299.77,3366.24,4157300
8/4/2021,3379.35,3388.88,3345.56,3354.72,2183900
8/5/2021,3356.22,3389.00,3340.92,3375.99,2433500
8/6/2021,3375.00,3375.00,3329.04,3344.94,2635300
8/9/2021,3343.61,3354.88,3328.52,3341.87,2148200
8/10/2021,3345.01,3358.00,3315.00,3320.68,2412600
8/11/2021,3331.45,3337.70,3277.79,3292.11,2947200
8/12/2021,3290.00,3314.51,3269.67,3303.50,2314100
8/13/2021,3305.67,3306.07,3283.00,3293.97,2052800
8/16/2021,3283.00,3300.00,3211.13,3298.99,3319700
8/17/2021,3277.50,3280.49,3225.68,3241.96,3387900
8/18/2021,3241.99,3254.10,3200.00,3201.22,2804300
8/19/2021,3194.02,3233.00,3182.46,3187.75,3782900
8/20/2021,3203.87,3207.81,3175.76,3199.95,3341200
8/23/2021,3211.90,3280.90,3210.01,3265.87,3268100
8/24/2021,3280.00,3315.49,3274.58,3305.78,2551800
8/25/2021,3309.87,3321.00,3286.15,3299.18,1680300
8/26/2021,3299.00,3332.00,3296.00,3316.00,2098800
8/27/2021,3333.23,3352.32,3313.75,3349.63,2391300
8/30/2021,3357.43,3445.00,3355.22,3421.57,3192200
8/31/2021,3424.80,3472.58,3395.59,3470.79,4356400
9/1/2021,3496.40,3527.00,3475.24,3479.00,3629900
9/2/2021,3494.76,3511.96,3455.00,3463.12,2923700
9/3/2021,3452.00,3482.67,3436.44,3478.05,2575700
9/7/2021,3478.00,3528.09,3476.94,3509.29,2737900
9/8/2021,3511.65,3545.63,3495.67,3525.50,3053400
9/9/2021,3526.02,3549.99,3480.37,3484.16,2719200
9/10/2021,3501.83,3508.45,3462.91,3469.15,2393300
9/13/2021,3482.80,3497.96,3438.00,3457.17,2569000
9/14/2021,3475.55,3486.81,3437.71,3450.00,1936900
9/15/2021,3442.52,3485.42,3402.01,3475.79,2957500
9/16/2021,3459.96,3492.55,3446.14,3488.24,2583600
9/17/2021,3488.41,3497.41,3452.13,3462.52,4616600
9/20/2021,3396.00,3419.00,3305.01,3355.73,4669100
9/21/2021,3375.00,3379.70,3332.39,3343.63,2780900
9/22/2021,3351.00,3389.00,3341.05,3380.05,2411400
9/23/2021,3380.05,3428.96,3380.05,3416.00,2379400
9/24/2021,3402.01,3429.26,3393.40,3425.52,2116200
9/27/2021,3371.50,3415.57,3339.61,3405.80,3634500
9/28/2021,3357.71,3369.19,3290.10,3315.96,4430800
9/29/2021,3322.11,3351.30,3297.87,3301.12,2562300
9/30/2021,3316.00,3327.85,3273.99,3285.04,2842400
10/1/2021,3289.01,3309.17,3255.94,3283.26,2835600
10/4/2021,3279.39,3279.99,3176.25,3189.78,4523100
10/5/2021,3204.50,3260.73,3202.46,3221.00,3269200
10/6/2021,3213.53,3264.34,3198.62,3262.01,2533000
10/7/2021,3291.54,3325.75,3283.06,3302.43,2409100
10/8/2021,3317.00,3321.43,3288.20,3288.62,1995500
10/11/2021,3275.00,3292.59,3238.10,3246.30,2034200
10/12/2021,3257.00,3267.53,3236.28,3247.33,1819600
10/13/2021,3269.71,3288.38,3261.09,3284.28,2420100
10/14/2021,3302.45,3312.60,3290.78,3299.86,2109500
10/15/2021,3311.42,3410.42,3304.00,3409.02,5175100
10/18/2021,3388.36,3449.17,3385.10,3446.74,3174100
10/19/2021,3434.29,3454.69,3422.00,3444.15,2386100
10/20/2021,3452.66,3462.86,3400.37,3415.06,2139800
10/21/2021,3414.25,3440.28,3403.00,3435.01,1881400
10/22/2021,3421.00,3429.84,3331.30,3335.55,3139100
10/25/2021,3335.00,3347.80,3297.70,3320.37,2226000
10/26/2021,3349.51,3416.12,3343.98,3376.07,2698300
10/27/2021,3388.00,3437.00,3371.45,3392.49,2702200
10/28/2021,3402.10,3479.00,3386.00,3446.57,5708700
10/29/2021,3300.02,3374.82,3273.32,3372.43,6469500
11/1/2021,3361.80,3375.86,3292.02,3318.11,3608900
11/2/2021,3315.01,3331.12,3283.55,3312.75,2627600
11/3/2021,3309.00,3394.92,3297.52,3384.00,3397200
11/4/2021,3370.00,3498.63,3365.00,3477.00,5353000
11/5/2021,3477.00,3566.25,3476.98,3518.99,4993500
11/8/2021,3523.24,3579.00,3487.86,3488.98,3074000
11/9/2021,3515.25,3593.77,3501.43,3576.23,4294900
11/10/2021,3563.87,3605.45,3463.09,3482.05,4027400
11/11/2021,3513.00,3543.24,3467.47,3472.50,2264400
11/12/2021,3485.00,3540.73,3447.05,3525.15,2688500
11/15/2021,3537.00,3593.88,3525.81,3545.68,2929700
11/16/2021,3539.00,3576.50,3525.15,3540.70,2217100
11/17/2021,3564.72,3587.25,3545.35,3549.00,2560300
11/18/2021,3566.35,3704.20,3561.00,3696.06,5703500
11/19/2021,3712.69,3762.15,3675.72,3676.57,4936700
11/22/2021,3676.38,3713.46,3567.50,3572.57,4842200
11/23/2021,3585.04,3621.05,3527.71,3580.04,3690200
11/24/2021,3562.67,3613.64,3536.85,3580.41,2328000
11/26/2021,3602.10,3633.50,3504.15,3504.56,2991300
11/29/2021,3547.64,3596.00,3531.50,3561.57,3265600
11/30/2021,3563.50,3585.77,3492.01,3507.07,4001100
